8000	5	-1
9000	2	-1
10000	4	-1
11500	2	-1
12000	5	-1
13000	2	-1
14000	4	-1
15500	2	-1
16000	5	-1
17000	2	-1
18000	4	-1
19500	2	-1
20000	5	-1
21000	2	-1
22000	4	-1
23000	3	-1
23500	2	-1
24000	5	-1
25000	2	-1
25500	3	-1
26000	4	-1
27000	-1	1
27500	2	-1
28000	5	-1
29000	2	-1
30000	4	-1
31000	3	-1
31500	2	-1
32000	5	-1
33000	2	-1
34000	4	-1
35000	2	-1
35500	2	-1
36000	5	-1
36750	5	-1
37000	2	-1
37750	2	-1
38000	4	-1
38750	4	-1
39500	2	-1
40750	5	-1
41000	2	-1
41750	2	-1
42000	4	-1
42750	4	-1
43500	2	-1
44000	5	-1
44500	5	-1
45000	2	-1
45500	3	-1
46000	4	-1
46750	6	-1
47000	-1	1
47500	2	-1
48000	5	-1
49000	2	-1
50000	4	-1
51000	-1	1
51500	2	-1
52000	5	-1
53000	2	-1
54000	4	-1
55500	2	-1
56000	5	-1
56750	5	-1
57000	2	-1
57750	2	-1
58000	4	-1
58750	4	-1
59500	2	-1
60000	5	-1
60500	5	-1
61000	2	-1
61500	2	-1
62000	4	-1
63000	3	-1
63500	2	-1
64000	5	-1
64750	5	-1
65000	2	-1
65750	2	-1
66000	4	-1
66750	4	-1
67500	2	-1
68000	5	-1
68500	5	-1
69000	2	-1
69500	2	-1
70000	4	-1
71000	3	-1
71500	2	-1
72000	5	-1
72750	5	-1
73000	2	-1
73750	2	-1
74000	5	-1
74750	4	-1
75500	2	-1
76000	5	-1
77000	2	-1
78000	4	-1
79500	2	-1
80000	5	-1
80750	5	-1
81000	2	-1
81750	2	-1
82000	4	-1
82750	4	-1
83500	2	-1
84000	5	-1
85000	2	-1
86000	4	-1
87000	-1	1
87500	2	-1
88000	5	-1
89000	2	-1
89500	3	-1
90000	4	-1
90500	5	-1
91000	4	-1
91500	2	-1
